"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"75,20,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spartans,Express,Premier League,Standard,0,0,Not Played / Data Unavailable"
"80,20,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spartans,Express,Master League,Standard,0,0,Not Played / Data Unavailable"
"2610,20,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spartans,Express,Champion League,Standard,0,0,Not Played / Data Unavailable"
"85,20,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spartans,Express,Academy League,Standard,0,0,Not Played / Data Unavailable"
"15,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Premier League,Doubles,0,0,Not Played / Data Unavailable"
"13,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Master League,Doubles,0,0,Not Played / Data Unavailable"
"55,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"2303,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"93,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Premier League,Standard,0,0,Not Played / Data Unavailable"
"91,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Master League,Standard,0,0,Not Played / Data Unavailable"
"88,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Champion League,Standard,0,0,Not Played / Data Unavailable"
"92,21,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hurricanes,Eclipse,Academy League,Standard,0,0,Not Played / Data Unavailable"
"81,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Premier League,Doubles,0,0,Not Played / Data Unavailable"
"17,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Master League,Doubles,0,0,Not Played / Data Unavailable"
"95,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"78,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"82,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Premier League,Standard,0,0,Not Played / Data Unavailable"
"98,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Master League,Standard,0,0,Not Played / Data Unavailable"
"9,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Champion League,Standard,0,0,Not Played / Data Unavailable"
"96,22,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Lightning,Blizzard,Academy League,Standard,0,0,Not Played / Data Unavailable"
"513,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Master League,Doubles,0,0,Not Played / Data Unavailable"
"453,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"462,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"3856,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Foundation League,Doubles,0,0,Not Played / Data Unavailable"
"16,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Master League,Standard,0,0,Not Played / Data Unavailable"
"456,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Champion League,Standard,0,0,Not Played / Data Unavailable"
"1144,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Academy League,Standard,0,0,Not Played / Data Unavailable"
"452,23,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Spectre,Demolition,Foundation League,Standard,0,0,Not Played / Data Unavailable"
"2539,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Master League,Doubles,0,0,Not Played / Data Unavailable"
"529,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"530,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"2538,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Foundation League,Doubles,0,0,Not Played / Data Unavailable"
"511,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Master League,Standard,0,0,Not Played / Data Unavailable"
"61,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Champion League,Standard,0,0,Not Played / Data Unavailable"
"531,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Academy League,Standard,0,0,Not Played / Data Unavailable"
"512,24,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wizards,Comets,Foundation League,Standard,0,0,Not Played / Data Unavailable"
"516,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Master League,Doubles,0,0,Not Played / Data Unavailable"
"515,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"518,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"520,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Foundation League,Doubles,0,0,Not Played / Data Unavailable"
"517,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Master League,Standard,0,0,Not Played / Data Unavailable"
"522,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Champion League,Standard,0,0,Not Played / Data Unavailable"
"528,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Academy League,Standard,0,0,Not Played / Data Unavailable"
"519,25,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sharks,Flames,Foundation League,Standard,0,0,Not Played / Data Unavailable"
"86,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Premier League,Doubles,0,0,Not Played / Data Unavailable"
"46,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Master League,Doubles,0,0,Not Played / Data Unavailable"
