"name,member_id,gamemode,skill_group,team_name,season,games_played,sprocket_rating,dpi_per_game,opi_per_game,avg_score,goals_per_game,total_goals,saves_per_game,total_saves,shots_per_game,total_shots,assists_per_game,total_assists,avg_goals_against,total_goals_against,avg_shots_against,total_shots_against,avg_demos_inflicted,total_demos_inflicted,avg_demos_taken,total_demos_taken"
"0thatguy,2567,RL_DOUBLES,Champion League,Aviators,Season 15,25,48.6612000000000000,44.5256000000000000,52.7964000000000000,557.6400000000000000,1.8800000000000000,47.00,1.6400000000000000,41.00,4.2800000000000000,107.00,0.76000000000000000000,19.00,3.0400000000000000,76.00,7.9600000000000000,199.00,0.64000000000000000000,16.00,1.0800000000000000,27.00"
"0thatguy,2567,RL_DOUBLES,Champion League,Bears,Season 14,10,48.0590000000000000,49.0690000000000000,47.0510000000000000,511.3000000000000000,1.7000000000000000,17.00,1.3000000000000000,13.00,3.8000000000000000,38.00,0.60000000000000000000,6.00,2.8000000000000000,28.00,6.8000000000000000,68.00,0.60000000000000000000,6.00,1.2000000000000000,12.00"
"0thatguy,2567,RL_DOUBLES,Master League,Ducks,Season 17,5,35.8660000000000000,35.8640000000000000,35.8720000000000000,516.6000000000000000,1.00000000000000000000,5.00,2.0000000000000000,10.00,5.0000000000000000,25.00,0.60000000000000000000,3.00,4.0000000000000000,20.00,10.6000000000000000,53.00,0.60000000000000000000,3.00,0.20000000000000000000,1.00"
"0thatguy,2567,RL_DOUBLES,Master League,Elite,Season 16,5,31.5920000000000000,28.6460000000000000,34.5400000000000000,483.8000000000000000,1.6000000000000000,8.00,0.60000000000000000000,3.00,3.8000000000000000,19.00,0.20000000000000000000,1.00,4.6000000000000000,23.00,7.6000000000000000,38.00,0.80000000000000000000,4.00,0.80000000000000000000,4.00"
"0thatguy,2567,RL_STANDARD,Champion League,Aviators,Season 15,35,52.9060000000000000,55.1680000000000000,50.6434285714285714,380.7714285714285714,0.94285714285714285714,33.00,1.4857142857142857,52.00,2.8571428571428571,100.00,0.48571428571428571429,17.00,1.8000000000000000,63.00,7.3428571428571429,257.00,0.62857142857142857143,22.00,1.00000000000000000000,35.00"
"0thatguy,2567,RL_STANDARD,Champion League,Aviators,Season 15 Playoffs,4,54.4275000000000000,52.6225000000000000,56.2325000000000000,366.0000000000000000,1.2500000000000000,5.00,0.50000000000000000000,2.00,3.0000000000000000,12.00,0.25000000000000000000,1.00,1.7500000000000000,7.00,5.5000000000000000,22.00,0E-20,0.00,0.50000000000000000000,2.00"
"0thatguy,2567,RL_STANDARD,Champion League,Bears,Season 14,5,48.3360000000000000,44.9440000000000000,51.7220000000000000,295.0000000000000000,0.60000000000000000000,3.00,0.20000000000000000000,1.00,3.0000000000000000,15.00,0.60000000000000000000,3.00,2.2000000000000000,11.00,6.2000000000000000,31.00,0.20000000000000000000,1.00,1.4000000000000000,7.00"
"0thatguy,2567,RL_STANDARD,Master League,Ducks,Season 17,10,41.3630000000000000,44.9350000000000000,37.7890000000000000,327.2000000000000000,0.70000000000000000000,7.00,1.6000000000000000,16.00,2.8000000000000000,28.00,0.40000000000000000000,4.00,3.9000000000000000,39.00,10.4000000000000000,104.00,0.50000000000000000000,5.00,1.00000000000000000000,10.00"
"0thatguy,2567,RL_STANDARD,Master League,Elite,Season 16,10,33.3560000000000000,26.8420000000000000,39.8680000000000000,213.7000000000000000,0.50000000000000000000,5.00,0.50000000000000000000,5.00,2.1000000000000000,21.00,0.50000000000000000000,5.00,3.0000000000000000,30.00,8.7000000000000000,87.00,0.90000000000000000000,9.00,1.7000000000000000,17.00"
"0w1,4883,RL_STANDARD,Master League,Hawks,Season 16,5,60.4380000000000000,51.9260000000000000,68.9500000000000000,458.2000000000000000,0.80000000000000000000,4.00,1.8000000000000000,9.00,3.4000000000000000,17.00,1.2000000000000000,6.00,4.2000000000000000,21.00,11.4000000000000000,57.00,1.4000000000000000,7.00,1.2000000000000000,6.00"
"1AMRamen,4,RL_DOUBLES,Master League,Express,Season 17,23,45.6378260869565217,53.2969565217391304,37.9786956521739130,465.6956521739130435,1.1739130434782609,27.00,1.8695652173913043,43.00,3.2173913043478261,74.00,0.65217391304347826087,15.00,3.3043478260869565,76.00,9.3913043478260870,216.00,0.78260869565217391304,18.00,1.3043478260869565,30.00"
"1AMRamen,4,RL_DOUBLES,Master League,Shadow,Season 16,20,48.9655000000000000,47.5795000000000000,50.3510000000000000,514.2500000000000000,1.4000000000000000,28.00,1.8000000000000000,36.00,3.4500000000000000,69.00,0.95000000000000000000,19.00,2.9500000000000000,59.00,7.7500000000000000,155.00,0.35000000000000000000,7.00,0.85000000000000000000,17.00"
"1AMRamen,4,RL_STANDARD,Master League,Express,Season 17,21,53.8119047619047619,60.3823809523809524,47.2419047619047619,416.0476190476190476,0.57142857142857142857,12.00,2.0000000000000000,42.00,2.8571428571428571,60.00,0.66666666666666666667,14.00,2.5714285714285714,54.00,9.4285714285714286,198.00,0.52380952380952380952,11.00,1.0952380952380952,23.00"
"1AMRamen,4,RL_STANDARD,Master League,Shadow,Season 16,20,57.3875000000000000,62.8075000000000000,51.9680000000000000,363.8000000000000000,0.80000000000000000000,16.00,1.4500000000000000,29.00,2.6000000000000000,52.00,0.60000000000000000000,12.00,1.6000000000000000,32.00,8.2000000000000000,164.00,0.50000000000000000000,10.00,1.3500000000000000,27.00"
