"match_id,round_id,Home,Home Goals,Away,Away Goals"
"54031,161672,Elite,5,Ducks,2"
"53980,161701,Bears,2,Outlaws,7"
"53981,161706,Bears,0,Outlaws,2"
"54070,161709,Jets,2,Blizzard,0"
"54160,161850,Pirates,3,Flames,2"
"54060,161869,Hurricanes,0,Wolves,5"
"54112,161894,Express,1,Bulls,6"
"54112,161895,Express,2,Bulls,3"
"54112,161897,Express,1,Bulls,2"
"54131,161902,Outlaws,1,Rhinos,3"
"54056,161905,Hive,2,Shadow,0"
"54050,162107,Aviators,5,Lightning,2"
"54148,162148,Hawks,5,Elite,1"
"53947,162155,Wolves,3,Hive,4"
"54102,162304,Tyrants,3,Comets,0"
"54151,162309,Hawks,5,Elite,4"
"54092,162326,Sabres,4,Wizards,3"
"54092,162328,Sabres,3,Wizards,4"
"54099,162333,Sabres,5,Wizards,4"
"54099,162335,Sabres,1,Wizards,2"
"54091,162340,Puffins,1,Spectre,2"
"54045,162349,Aviators,2,Lightning,3"
"54072,162361,Jets,3,Blizzard,1"
"54111,162497,Express,4,Bulls,1"
"54117,162504,Knights,3,Pandas,2"
"54149,162517,Hawks,1,Elite,2"
"54051,162529,Aviators,0,Lightning,4"
"54142,162546,Ducks,5,Dodgers,4"
"54142,162547,Ducks,3,Dodgers,6"
"54048,162696,Aviators,4,Lightning,3"
"54181,163701,Lightning,5,Hive,2"
"54292,163852,Flames,5,Sharks,0"
"54249,163977,Bulls,1,Knights,3"
"54217,163986,Eclipse,1,Puffins,2"
"54250,164005,Bulls,4,Knights,2"
"54209,164020,Comets,3,Foxes,0"
"54273,164179,Demolition,3,Ducks,2"
"54259,164197,Pandas,1,Outlaws,0"
"54286,164204,Elite,1,Pirates,0"
"54229,164217,Wizards,0,Tyrants,2"
"54270,164499,Demolition,3,Ducks,5"
"54173,164513,Blizzard,2,Aviators,1"
"54222,164520,Spectre,2,Sabres,3"
"54176,164545,Blizzard,5,Aviators,6"
"54176,164548,Blizzard,2,Aviators,5"
"54212,164777,Eclipse,4,Puffins,5"
"54212,164778,Eclipse,4,Puffins,5"
"54245,164795,Bulls,3,Knights,1"
"54246,164796,Bulls,2,Knights,5"
"54246,164797,Bulls,3,Knights,2"
"54244,164802,Bulls,3,Knights,2"
"54244,164804,Bulls,7,Knights,4"
"54258,164814,Pandas,3,Outlaws,2"
"54412,165095,Bears,2,Pandas,5"
"54412,165097,Bears,3,Pandas,2"
"54413,165102,Bears,1,Pandas,3"
"54399,165132,Express,2,Outlaws,0"
"54320,165224,Comets,4,Spectre,5"
"54420,165245,Rhinos,3,Bulls,2"
"54422,165248,Rhinos,1,Bulls,3"
"54378,165261,Sharks,3,Hawks,4"
"54406,165274,Spartans,2,Knights,4"
"54370,165486,Ducks,3,Pirates,4"
"54323,165502,Comets,3,Spectre,2"
"54340,165519,Jets,1,Hive,6"
"54427,165528,Rhinos,2,Bulls,3"
"54423,165535,Rhinos,1,Bulls,2"
"54436,165699,Sabres,5,Tyrants,3"
"54533,165705,Outlaws,1,Spartans,3"
"54533,165709,Outlaws,0,Spartans,3"
"54430,165778,Puffins,4,Foxes,3"
"54522,165786,Elite,2,Flames,7"
"54532,165801,Outlaws,3,Spartans,6"
"54532,165803,Outlaws,7,Spartans,3"
"54482,165848,Lightning,4,Blizzard,2"
"54444,165852,Eclipse,1,Comets,2"
"54444,165853,Eclipse,2,Comets,1"
"54491,165857,Shadow,1,Wolves,0"
"54545,165862,Bulls,2,Bears,1"
"54528,165916,Knights,2,Express,5"
"54521,165920,Elite,2,Flames,1"
"54450,165925,Eclipse,4,Comets,5"
"54440,165929,Sabres,4,Tyrants,1"
"54546,166080,Bulls,3,Bears,4"
"54470,166161,Hurricanes,2,Jets,4"
"54525,166172,Knights,2,Express,3"
"54515,166178,Dodgers,0,Demolition,4"
"54497,166188,Hawks,1,Ducks,7"
"54498,166259,Hawks,2,Ducks,5"
"54543,166287,Bulls,4,Bears,2"
"54656,166614,Outlaws,2,Knights,4"
"54642,166626,Elite,3,Dodgers,1"
"54661,166704,Spartans,5,Express,2"
"54632,166712,Sharks,2,Ducks,4"
"54632,166713,Sharks,1,Ducks,5"
"54657,166721,Outlaws,3,Knights,4"
"54644,166799,Flames,9,Demolition,2"
"54644,166800,Flames,0,Demolition,5"
"54644,166803,Flames,4,Demolition,2"
"54658,166819,Outlaws,4,Knights,1"
"54568,166891,Tyrants,2,Foxes,3"
"54607,166904,Shadow,3,Lightning,2"
"54614,166910,Wolves,0,Blizzard,5"
"54643,166951,Elite,1,Dodgers,2"
"54624,166956,Pirates,1,Hawks,5"
"54625,166965,Pirates,4,Hawks,0"
"54611,166971,Shadow,3,Lightning,4"
"54626,166979,Pirates,4,Hawks,6"
"54676,167061,Rhinos,2,Bears,4"
"54613,167074,Wolves,5,Blizzard,4"
"54613,167078,Wolves,5,Blizzard,1"
"54660,167241,Spartans,4,Express,2"
"53512,150591,Knights,1,Outlaws,3"
"53404,150625,Foxes,1,Tyrants,5"
"53516,150643,Bears,1,Rhinos,3"
"53516,150646,Bears,4,Rhinos,3"
"53519,150651,Bears,1,Rhinos,5"
"53519,150652,Bears,3,Rhinos,1"
"53432,150675,Eclipse,3,Spectre,2"
"53422,150697,Comets,1,Wizards,4"
"53495,150995,Dodgers,1,Elite,2"
"53481,151011,Hawks,6,Pirates,5"
"53450,151049,Hive,2,Hurricanes,4"
"53454,151069,Blizzard,4,Wolves,2"
"53497,151358,Dodgers,1,Elite,3"
"53423,151380,Comets,0,Wizards,2"
"53472,151439,Ducks,0,Sharks,5"
"53496,151464,Dodgers,1,Elite,2"
"53407,151467,Foxes,1,Tyrants,4"
"53482,151739,Hawks,4,Pirates,3"
"53589,152018,Wolves,2,Shadow,3"
"53613,152495,Demolition,6,Dodgers,2"
