"name,salary,sprocket_player_id,member_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Until"
"BurnWanSahn,13.5,79,80,Champion League,FP,NA,NONE,0,Not Eligible"
"Solace,14.0,80,81,Champion League,Pend,NA,NONE,0,Not Eligible"
"C^2,18.0,81,82,Premier League,FP,NA,NONE,0,Not Eligible"
"C0P3x,16.5,82,83,Master League,Express,Assistant General Manager,NONE,0,Not Eligible"
"cakekyst,10.0,83,84,Foundation League,FP,NA,NONE,0,Not Eligible"
"cali,18.0,84,85,Premier League,FP,NA,PLAYERE,0,Not Eligible"
"colors,16.0,85,86,Master League,FP,NA,NONE,0,Not Eligible"
"Cammm,11.0,86,88,Academy League,FP,NA,NONE,0,Not Eligible"
"Cardinal22,7.0,87,89,Foundation League,Pend,NA,NONE,0,Not Eligible"
"Carl,11.0,88,90,Academy League,FP,NA,NONE,0,Not Eligible"
"cashioc,16.0,89,91,Master League,FP,NA,NONE,0,Not Eligible"
"Cearu,16.0,90,92,Master League,FP,NA,NONE,0,Not Eligible"
"Cedric,16.5,91,93,Master League,FP,NA,NONE,0,Not Eligible"
"Celery Man,9.5,92,94,Foundation League,FP,NA,NONE,0,Not Eligible"
"ChanceByViper22,6.5,93,95,Foundation League,FP,NA,NONE,0,Not Eligible"
"ChaosSpike,13.5,94,96,Champion League,Ducks,Franchise Manager,PLAYERA,0,Not Eligible"
"Chase,16.0,95,97,Master League,FP,NA,NONE,0,Not Eligible"
"CHASER931_,13.0,96,98,Champion League,FP,NA,NONE,0,Not Eligible"
"Chief,6.5,97,99,Foundation League,Hawks,NA,PLAYERC,30,08 Dec 2025"
"Chinchilla,15.5,98,100,Master League,FP,NA,NONE,0,Not Eligible"
"ChoosingToast,10.0,99,101,Foundation League,FP,NA,NONE,0,Not Eligible"
"ChrisP,18.0,100,102,Premier League,Knights,NA,PLAYERD,5,Not Eligible"
"chuckthetruck,11.5,101,103,Academy League,FP,NA,NONE,0,Not Eligible"
"Chunkylover,12.0,102,104,Academy League,FP,NA,NONE,0,Not Eligible"
"Classic_Ninja,15.5,103,105,Master League,FP,NA,NONE,0,Not Eligible"
"Clemons,11.0,104,106,Academy League,FP,NA,NONE,0,Not Eligible"
"CloudFuel,11.5,105,107,Academy League,FP,NA,NONE,0,Not Eligible"
"Clowdy Howdy,12.0,106,108,Academy League,FP,NA,NONE,0,Not Eligible"
"EthrealDoom,5.0,107,109,Foundation League,FP,NA,NONE,0,Not Eligible"
"Collin,15.5,108,110,Master League,FP,NA,NONE,0,Not Eligible"
"CommanderSushi1,12.0,109,111,Academy League,FP,NA,NONE,0,Not Eligible"
"coversum,12.0,110,112,Academy League,FP,NA,NONE,0,Not Eligible"
"CozyPhoenix,12.5,111,113,Academy League,FP,NA,NONE,0,Not Eligible"
"Craymin,19.0,112,114,Premier League,FP,NA,NONE,0,Not Eligible"
"Crey2k,16.0,113,115,Master League,FP,NA,NONE,0,Not Eligible"
"crossfire,18.5,114,117,Premier League,Pend,NA,NONE,0,Not Eligible"
"Kioshi,15.5,115,118,Master League,FP,NA,NONE,0,Not Eligible"
"Daddy J,12.0,116,119,Academy League,FP,NA,NONE,0,Not Eligible"
"dan720,17.5,117,120,Master League,FP,NA,NONE,0,Not Eligible"
"Aerialist,11.0,118,121,Academy League,FP,NA,NONE,0,Not Eligible"
"darkfire,10.5,119,122,Academy League,FP,NA,NONE,0,Not Eligible"
"DC9708,10.0,120,123,Foundation League,FP,NA,NONE,0,Not Eligible"
"DDia,13.5,121,124,Champion League,FP,NA,NONE,0,Not Eligible"
"Deejay,10.0,122,125,Foundation League,Demolition,Franchise Manager,NONE,0,Not Eligible"
"Deli,16.5,123,126,Master League,Outlaws,General Manager,PLAYERC,0,Not Eligible"
"Deluxe,20.0,124,127,Premier League,FP,NA,NONE,0,Not Eligible"
"Modangles,14.0,125,128,Champion League,FP,NA,NONE,0,Not Eligible"
"DemonicWool,16.5,126,129,Master League,FP,NA,NONE,0,Not Eligible"
"Dengaroo,18.5,127,130,Premier League,FP,NA,NONE,0,Not Eligible"
"DesignJedi,6.5,128,131,Foundation League,FP,NA,NONE,0,Not Eligible"
"Devastator_G1,9.0,129,132,Foundation League,FP,NA,NONE,0,Not Eligible"
"dewy413,18.0,130,133,Premier League,Ducks,NA,NONE,0,Not Eligible"
"DIDDYxKONG,9.5,131,134,Foundation League,FP,NA,NONE,0,Not Eligible"
"digismack,9.5,132,135,Foundation League,FP,NA,NONE,0,Not Eligible"
"DK,10.5,133,137,Academy League,Elite,Franchise Manager,PLAYERA,0,Not Eligible"
"DLEW19,13.5,134,138,Champion League,FP,NA,NONE,0,Not Eligible"
"DocPep,12.0,135,139,Academy League,FP,NA,NONE,0,Not Eligible"
"dog,19.0,136,140,Premier League,FP,NA,NONE,0,Not Eligible"
"Dolo7,14.5,137,141,Champion League,FP,NA,NONE,0,Not Eligible"
"domdunbar,11.5,138,142,Academy League,FP,NA,NONE,0,Not Eligible"
"Dom,17.0,139,143,Master League,FP,NA,NONE,0,Not Eligible"
"Dekeese,12.5,140,144,Academy League,FP,NA,NONE,0,Not Eligible"
"DonutPirate,11.0,141,145,Academy League,FP,NA,NONE,0,Not Eligible"
"DoomBug1,18.5,142,146,Premier League,FP,NA,NONE,0,Not Eligible"
"Dooober,17.0,143,147,Master League,FP,NA,NONE,0,Not Eligible"
"Dopenose,11.0,144,148,Academy League,FP,NA,NONE,0,Not Eligible"
"Dragon Slayer,8.5,145,149,Foundation League,FP,NA,NONE,0,Not Eligible"
"Drawe,14.0,146,150,Champion League,FP,NA,NONE,0,Not Eligible"
